tipo_producto,Codigo,Descripcion,unidad_medida,Valor_unitario,IVA,IC,INC,Cantidad_real,Cantidad_paquete
Servicio,S038,Limpieza de tanques de agua retiro de sedimentos y evacuación de agua,Unidad,200000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S039,Confinamiento de junta con mortero de reparación estructural EUCO Patch M,Metro Lineal,14200,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S040,Modificación de ductos de ventilación para facilitar la reparación de membrana,Unidad,25000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S041,Aplicación de pintura reflexiva de aluminio ALUMOL,Metro Cuadrado,3500,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S042,Resane de tanques Muros. Cielo y Piso  con mortero de reparacion estructural,Metro Cuadrado,320000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S043,Botas para emboquillado de tuberia Incluye sello con VULKEM 116 ,Unidad,45000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S044,Calafateo perimetral con VULKEM 116,Metro Lineal,6800,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S045,Sello de fisuras y regatas con VULKEM 116,Metro Lineal,10500,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S046,Sello de fisuras con VULKEM 45 SSL,Metro Lineal,10500,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S047,Sello de juntas con Sellasil soporte y Vulkem 116,Metro Cuadrado,8000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S048,Construcción de regata perimetral para confinar sistema de impermeabilización,Metro Lineal,3500,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S049,Retiro de manto asfalto existente,Metro Cuadrado,5000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S050,Sello con mortero de reparación estructural Sikatop 122 Monocomponente,Metro Cuadrado,4000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S051,Reparación de oquedades en superficies con mortero impermeabilizado,Metro Cuadrado,18000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S052,Sello de borde perimetral de membrana con poliuretano,Metro Lineal,5500,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S053,Construcción de mediacaña en juntas de piscina con Sikafloor 169. Sikadur 32 primer y Sikadur 510,Metro Lineal,47000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S054,Aplicación de recubrimiento acrílico sobre mantos para el sello de filtraciones,Metro Cuadrado,22000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S055,Impermeabilización de Muros con IGOL DENSO PLUS,Metro Cuadrado,18000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S056,Impermeabilizacion de Muros con XYPEX CONCENTRADO,Metro Cuadrado,26000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S057,Sello de filtración en junta de dilatación con bentonita y mortero de reparación estructural,Metro Cuadrado,35000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S058,Instalación de Sello Elástico VANDEX FLEXTAPE  200x20CMS  para juntas sometidas a presión hidrostática,Metro Cuadrado,110000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S059,Instalación de enchape en muros y piso de piscinas con Sikaceram Flex,Metro Cuadrado,34000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S060,Fraguado de enchape de piscinas con boquilla acrilica para piscinas Stone Mix,Metro Cuadrado,4500,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S061,Sello de accesorios y borde de piscinas con Sikasil Pool,Unidad,70000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S062,Resane de superficie para asegurar homogeneidad con Sikadur 32 Primer y Sikadur 510,Metro Cuadrado,30000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S063,Aplicación recubrimiento Sikafloor 2430,Metro Cuadrado,30000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S064,Instalación mediante flameado de manto asfáltico poliéster 4MM,Metro Cuadrado,35000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S065,Sello de ventanería o puertas con Sikaflex,Unidad,8500,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S066,Enboquillado de bajantes con membrana PVC,Unidad,30000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S067,Sello de borde perimetral de la membrana con Sikaflex-1A Plus i-Cure,Metro Lineal,7800,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S068,Aplicación de Sikafloor-264 resina epoxica pigmentada ,Metro Cuadrado,68000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S069,Aplicación de sellado y acabado epoxico a dos manos High Gloss RAL 5015 Azul o Gris,Metro Cuadrado,30000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S070,Construcción de regata,Metro Cuadrado,4500,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S071,Excavación de tierra,Metros Cubicos,15000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S072,Reparacion de juntas con mortero de reparacion estructural,Metro Lineal,16000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S073,Relleno de juntas vacias o grietas con mortero de reparación estructural,Metro Lineal,12500,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S074,Inducción de juntas de dilatación con pulidora y disco de corte,Metro Lineal,3000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S075,Inducción de regata con pulidora y disco de corte en junta constructiva,Metro Lineal,10800,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S076,Emboquillado de bajantes,Unidad,30000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S077,Modificación ductos de ventilación de 2",Unidad,18000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S078,Modificación ductos de ventilación de 4",Unidad,28000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S079,Mantenimiento losas de cubierta de puntos fijos,Metro Cuadrado,25000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S080,Pulir superficie con copa diamantada,Metro Cuadrado,3500,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S081,Construccion de media caña en mortero,Metro Lineal,9500,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S082,Mano de obra instalacón de formaletas,Metro Lineal,3200,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S083,Mano de obra de instalación de concreto,Metro Cuadrado,3500,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S084,Mano de obra de instalación de concreto Incluye el concreto ,Metro Cuadrado,6000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S085,Mano de obra acabado superficial del concreto con Helicóptero Incluye el endurecido ROCKTOP ,Metro Cuadrado,28000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S086,Sello de fisuras con mortero,Metro Lineal,10500,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S087,Retiro de tejas de fibrocemento en mal estado,Unidad,9800,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S088,Instalación de tejas de Fibrocemento de 1.8m x 0.9m Incluye la teja ,Unidad,42000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S089,Instalación de tejas de Fibrocemento de 1.8m x 0.9m,Unidad,28000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S090,Reparación de caballetes con retiro de teja fracturadas. preparación de superficie y reemplazo de tejas ,Unidad,60000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S091,Prueba de estanqueidad del sistema de impermeabilización,Unidad,300000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S092,Sondeo y limpieza de bajantes,Unidad,45000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S093,Reparación de empozamientos,Metro Cuadrado,25000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S094,Fundicion de concreto para Piso fcigual a28Mpa,Metros Cubicos,150000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S095,Fundicion de concreto para Muros fcigual a28Mpa,Metros Cubicos,390000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S096,Fundicion de concreto de Tapa fcigual a28Mpa,Metros Cubicos,390000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S097,Sondeo de bajandes de aguas de lluvia y limpieza de los mismos,Unidad,55000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S098,Retiro de rebabas sobre mediacaña,Metro Cuadrado,27000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S099,Demolición y retiro de enchape y mortero de pega existente,Metro Cuadrado,14000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S100,Trasiego de escombros a sitio de almacenamiento temporal,Unidad,200000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S101,Prueba hidrostática de tubería y accesorios,Unidad,250000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S102,Imprimación de superficie con emulsión asfaltica como puente de adherencia,Metro Cuadrado,2000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S103,Aplicación de pintura Coraza 10 años de Pintuco inclute pintura ,Metro Cuadrado,10200,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S104,Aplicación de pintura perimetral y de ventanería Koraza gris basalto Incluye pintura ,Metro Lineal,3800,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S105,Aplicación de pintura esmalte mate tipo pintuco,Metro Cuadrado,15400,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S106,Aplicación de pintura. garantía de 10 años Incluye Imprimante + 2 manos de pintura,Metro Cuadrado,6500,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S107,Instalación Piso ACME Gym espesor 10mm,Metro Cuadrado,80000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S108,Vaciado del tanque con Motobomba sumergible,Unidad,400000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S109,Preparación de superficies con pulidora para retiro de impurezas y uniformizar áreas,Metro Cuadrado,3500,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S110,Construcción de ducto para compuerta en tanque  0.7m x 0.8m x 0.85m ,Unidad,500000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S111,Aplicación de recubrimiento epoxico de alta calidad en cielo. muros y piso de los tanques,Metro Cuadrado,45000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S112,Aplicación de recubrimiento epoxico de alta calidad en muros de compuertas,Metro Cuadrado,45000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S113,Instalación del Sistema de Membrana TANQUES PVC Danopol DW HS 1.2mm,Metro Cuadrado,78000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S114,Sello perimetral de la Membrana y de accesorios con Sika Primer 215 + Sikalex 1A,Metro Lineal,8000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S115,Aplicación recubrimiento Epoxico para tanques de almacenamiento de agua potable en Cielo y salpicadero,Metro Cuadrado,45000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S116,Sello de borde perimetral de membrana con poliuretano,Metro Lineal,5500,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S117,Suministro e instalación Membrana PVC TANQUES mediante sistema de termo fundido,Metro Cuadrado,78000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S118,Aplicación de recubrimiento epoxico TOC-8020 de alta calidad en cielo de tanques,Metro Cuadrado,45000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S119,Fundición de piso en concreto 3500 PSI reforzado con Fibra SintÍtica Estructural TUF Stand SF  Eigual a10cm ,Metro Cuadrado,52000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S120,Construcción piso en concreto Estampado con el diseño y color escogido por el cliente,Metro Cuadrado,23000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S121,Fabricacion de moldes para muro estampado,Unidad,100000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S122,Aplicación de piso en poliuretano Purcem Gloss,Metro Cuadrado,112000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S123,Mano de obra estampado de piso en concreto Incluye Color Hardener y desmoldante,Metro Cuadrado,20000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S124,Sello de concreto con Clear Seal,Metro Cuadrado,12000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S125,Construcción piso industrial reforzado con endurecer silicio para pisos Alisado con Helicóptero ,Metro Cuadrado,19000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S126,Limpieza permanente de obra,Unidad,800000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S127,Hidrolavado de superficies,Metro Cuadrado,15000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S128,Hidrolavado de superficies con 10% de hipoclorito,Metro Cuadrado,15000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S129,Hidrolavado y retiro de grasa con Greese Away,Metro Cuadrado,2300,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S130,Limpieza de obra y retiros de escombros,Unidad,250000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S131,Utilidad,Unidad,10000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S132,Administración e imprevistos,Unidad,100000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S133,Impermeabilizacion con Membrana de Poliuretano MASTERSEAL HLM 5000 RG,Metro Cuadrado,32800,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S134,Impermeabilizacion con MAPELASTIC SMART,Metro Cuadrado,58000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S135,Impermeabilizacion con PLANISEAL 68,Metro Cuadrado,32800,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S136,Impermeabilizacion con sistema Epoxico MAPECOAT DW 25,Metro Cuadrado,58000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S137,Sello de fisuras con poliuretanno semiautonivelante Mapeflex MS 45,Metro Lineal,9000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S138,Construcción de mortero 1-3 reforzado con fibra sintética estructural,Metro Cuadrado,35000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S139,Fundición de dados Incluye Corte, demolición y fundición,Unidad,45000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S140,Suministro y apliación del sistema impermeabilización cementicio Planisil 288(2 capas),Metro Cuadrado,28000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S141,Suministro e instalación de cinta Vandex Flextape para sello de junta,Metro Lineal,69000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S142,Sello de accesorios con TAMMSFLEX NS - Sello de polisulfuro,Unidad,81610,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S143,Repello impermeabilizado en piscina con mortero 1-3 reforzado con microfibra Fiber Strand e impermeabilizante Sika -1. Espesor 3cm,Metro Cuadrado,28909,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S144,Suministro y aplicación de Sikalastik 1K en superficie. 2 capas,Metro Cuadrado,77611,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S145,Suministro y aplicación de fragua con boquilla stone mix ultra,Metro Cuadrado,8764,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S146,Sello de fisuras con Vulken 45SSL,Metro Lineal,30000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S147,Suministro y aplicación de sistema de impermeabilización con Igasol y Sikafelt,Metro Cuadrado,46314,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S148,Instalación de enchape con Sikaceram BA,Metro Cuadrado,38133,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S149,Suministro y aplicación de recubrimiento protector epoxico de alta calidad Mapecoat I-24,Metro Cuadrado,45000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S150,Granallado de superficie con pulidora y disco diamantado,Metro Cuadrado,120000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S151,Suministro y aplicación de sistema de impermeabilización de poliuretano Cubriseal,Metro Cuadrado,30000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S152,Impermeabilización con Mortero cementoso bicomponente de elevada elasticidad Mapelastic Smart, reforzado con Malla de fibra de vidrio,Metro Cuadrado,58000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S153,Impermeabilizacion con PLANISEAL 288,Metro Cuadrado,32800,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S154,Suministro e instalación de bloque de Icopor de alta densidad para el llenado de espacio entre muros de edificación,Metro Lineal,15000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S155,Suministro y aplicación de sistema de impermeabilización AQUAZERO 5 años reforzado con EUCO Felt,Metro Cuadrado,16000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S156,Suministro y aplicación de sistema epoxico Eporip,Metro Lineal,42000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S170,Profesional SISO en obra por duración de los trabajos,Mes de trabajo,3500000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S171,Excavación de zanja,Metro Lineal,8000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S172,Suministro y aplicación de Igol Denso Plus,Metro Lineal,18000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S173,Suministro e instalación de sistema base acrílica reforzada con malla de poliéster Incluye MO + Sikafill Power 7 años + Sikafelt FPP 30,Metro Cuadrado,19000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S174,Fabricación molde especial 100% poliuretano,Unidad,400000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S175,Suministro de materiales e Instalación de By-pass,Unidad,50000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S176,Suministro y aplicación de solución de silicato de litio base agua,Metro Cuadrado,12000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S177,Suministro y aplicación de Mapeflex MS 45,Metro Lineal,8000,IVA: Exento 0%,0,INC: No Tiene,1,1
Servicio,S178,Suministro y aplicación sistema de impermeabilización 10 años base poliuretano Purtop Easy,Metro Cuadrado,90000,IVA: Exento 0%,0,INC: No Tiene,1,1 
